579,373,2210
646,369,2217
690,371,2223
741,379,2230
785,382,2237
813,385,2244
842,392,2250
866,395,2257
895,401,2264
915,404,2271
944,410,2277
954,415,2284
971,418,2291
981,423,2298
997,423,2304
1006,423,2311
1019,431,2318
1028,431,2325
1040,433,2331
1047,433,2338
1051,433,2345
1052,435,2352
1052,437,2358
1054,437,2365
1056,437,2379
1059,437,2386
1063,439,2392
1070,441,2399
1082,441,2406
1094,441,2413
1130,441,2419
1151,444,2426
1187,447,2433
1203,447,2440
1221,456,2446
1233,456,2453
1240,456,2460
1243,456,2467
1245,456,2473
1247,456,2480
1247,458,2494
1251,460,2507
1251,461,2528
1252,463,2534
1254,463,2548
1254,465,2554
1256,466,2568
1258,470,2575
1258,474,2582
1215,477,2880
1176,477,2887
1132,475,2893
1100,472,2900
1067,465,2907
1015,454,2914
958,438,2921
915,423,2927
865,408,2934
800,391,2941
731,382,2948
711,382,2954
667,382,2961
635,382,2968
615,384,2975
591,384,2981
574,387,2988
567,389,2995
561,391,3002
554,396,3008
552,396,3015
551,396,3022
549,397,3029
547,397,3035
545,397,3042
544,397,3056
542,399,3062
538,401,3069
532,403,3076
525,405,3083
518,410,3090
502,421,3096
495,425,3103
486,430,3110
472,435,3116
462,440,3123
449,446,3130
442,450,3137
423,453,3143
417,455,3150
408,457,3157
401,457,3164
397,457,3171
396,457,3177
394,457,3184
390,457,3191
389,457,3198
387,457,3204
385,457,3225
383,457,3231
382,457,3238
380,457,3245
424,446,3596
488,434,3603
543,422,3610
595,418,3616
663,414,3623
714,410,3630
750,410,3637
806,406,3643
850,403,3650
878,397,3657
914,393,3664
951,383,3671
979,380,3677
1008,377,3684
1024,374,3691
1041,374,3698
1053,374,3704
1060,372,3711
1064,372,3718
1073,373,3725
1074,373,3731
1076,373,3738
1078,373,3745
1080,373,3758
1080,375,3765
1081,377,3772
1083,378,3792
1085,378,3799
1085,380,3806
1085,384,3819
1085,386,3833
1085,387,3839
1085,389,3853
1085,391,3866
1086,392,3873
1071,389,4198
1046,386,4205
989,374,4212
949,374,4219
